"Ref","Ref Eleitor","Data Cadastro","Data Atualização","Data Solicitação","Descrição","Status","Categoria","Origem","Escritório","Secretaria"
"40217","206719","2025-02-03 15:26:50","2025-02-03 15:42:47","2025-02-03","Consulta com Drº Ênio 
Mão está doendo muito

- Rua São João Batista, Gaspar","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40218","206722","2025-02-03 15:33:48","2025-04-04 11:33:00","2025-01-30","A criança foi para junta reguladora, esperando à respeito da APAE

- Gaspar","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40219","206733","2025-02-03 15:59:47","2025-02-03 15:59:47","2025-01-27","Exame pedido lapstomia em yag laser ambos olhos
Protocolado em Janeiro TFD, Sandra
Início de fevereiro irá marcar","em analise","Auxilio Doença","WhatsApp","Principal","Secretaria de Saúde"
"40220","206739","2025-02-03 16:05:26","2025-04-04 10:13:59","2025-01-31","Neuropediatra
Karen Peterson da Conceição Costa 15/01/2010
Kayan Peterson da Conceição Costa 08/03/2018

","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40221","206742","2025-02-03 16:15:36","2025-04-04 11:31:43","2025-02-01","Doutora Lívia Reumato (urgente) paciente amputada necessita mostrar exames","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40222","206747","2025-02-03 16:28:10","2025-02-03 16:28:10","2025-01-17","José Rubens Pereira Tibúrcio
(Leite do filho) pericia ok pericia social ok
Perícia 20/01/25
Nutricionista","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40230","206767","2025-02-04 08:05:58","2025-02-04 08:05:58","2025-01-17","-Precisando de cirurgião (pequena cirurgia) correção orelha.Está no sistema viver. 
-Obs: aguardando agendamento.
Rua Projetada H  Bairro Gaspar.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40231","206768","2025-02-04 08:11:51","2025-02-04 16:01:22","2024-12-30","-Verruga (à mesma está na fila de espera cirurgião de pequenas cirurgia)
-Rua Roseli Fitelman
Bairro Gaspar","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40242","206771","2025-02-04 08:21:11","2025-04-04 11:40:58","2024-12-29","-Endoscopia, está na fila do viver. (foi adiantada)
-Rua 7 de Setembro
-Bairro Gaspar","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40248","206774","2025-02-04 08:33:51","2025-04-04 11:37:34","2025-01-19","-Consulta com ortopedista
-Marco Antônio de Souza
-DN:17/07/1965
-Rua Júlio César Pereira
-Bairro Gaspar","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40255","206779","2025-02-04 08:45:26","2025-02-04 08:45:26","2025-01-17","-Vasectomia (está na fila de espera)
-José Milton de Souza
-DN:19/05/1987
-Bairro Gaspar","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40286","206822","2025-02-04 10:45:13","2025-02-04 10:45:13","2025-01-15","-Lorenzo necessita suporte ventilátorio (VM-CPAP),portador de erro inato do metabolismo(deficiência múltipla de acil-COA disiabrogenase.
-Rua Presidente Kennedy
-Bairro Gaspar","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40288","206827","2025-02-04 10:58:26","2025-04-04 10:12:48","2025-01-12","-Calcitecfomia -exame
-À mesma precisa passar por cirurgia p/ dar segmento ao pedido.
-Obs:Não está na fila pra cirurgia ainda.
-Pedido (Tati laboratório)
","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40290","206838","2025-02-04 11:16:42","2025-04-04 10:09:55","2025-01-05","_Pedir pra passar o carro da fumaça na Vila Santa Rita.
-OBS: 6 pessoas já pegaram dengue.
-Bairro União (vila santa Rita)
Acionar a vigilância ","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40322","206654","2025-02-04 14:53:48","2025-02-12 14:39:47","2025-01-22","Obras no escadão
Rua São Cristovão e Rua Italiana
Já foi realizado indicação Nº 31","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"40331","206897","2025-02-04 15:54:27","2025-04-04 11:46:26","2025-02-04","Pedir para adiantar a ressonância
Dor intensa e perda de mobilidade","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40333","206898","2025-02-04 15:59:48","2025-04-04 11:47:25","2025-01-02","Fonodiologa - Theo Euzébio Tavares (10/05/2000)","Concluído","Atendimento médico em ubs clinico geral","Pessoal","Principal","Secretaria de Saúde"
"40375","206943","2025-02-05 11:23:45","2025-02-24 10:32:33","2025-02-04","_Uma solução sobre as placas da entrada do bairro.
-È mão ou contra mão ou mão dupla.
-Bairro Gaspar.
Foi realizado indicação nº 92","aguardando execuçao","Placas, Lombadas e Sinais","WhatsApp","Principal","Secretaria de Trânsito"
"40386","206952","2025-02-05 13:21:05","2025-02-07 15:32:28","2025-02-05","Verificar sobre o afastamento do motorista da Ambulância (Luciano) Tendo em vista que os moradores gostaram muito dele na Ubs","Concluído","Transportes solicitacao de viagens ","WhatsApp","Principal","Secretaria de Saúde"
"40392","206952","2025-02-05 13:35:05","2025-07-22 10:40:16","2025-02-05","Limpeza na Quadra do Distrito de Itamuri, muita sujeira e lixo","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40394","206961","2025-02-05 14:06:12","2025-02-10 13:33:24","2025-02-05","RNn coluna lombosacro e RNn coluna torácica 
com urgência
Já consultou no Dornelas e pedido já foi levado para secretária de saúde
 - Bairro União
10/02/25 - Terá que aguardar a marcação do exame","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40442","206994","2025-02-06 08:31:30","2025-02-19 10:55:13","2025-02-05","_Estrada de difícil acesso,obra parada.
-Belisário.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"40512","207025","2025-02-06 16:11:25","2025-04-02 15:49:54","2025-02-06","Corte dos bambus na Rua 1º de maio na descida do escadão da obra do muro
Já foi solicitado ao engenheiro para pedir a Energisa para realizar o corte
Bairro Gaspar","Concluído","Poda de Árvore","WhatsApp","Principal","Secretaria do Meio Ambiente"
"40514","207040","2025-02-06 16:17:03","2025-02-06 16:17:03","2025-02-06","Auxilio Funerário
Realizou a ligação para solicitação dos Assistentes sociais e realizaram a organização do enterro
","Concluído","Outros","Pessoal","Principal",NULL
"40543","207053","2025-02-07 09:40:12","2025-04-04 12:08:05","2025-02-06","-Reindivicação nos horários de ônibus (circular)
-Bairro Alto do Castelo.","aguardando execuçao","Transportes solicitacao de viagens ","WhatsApp","Principal","Secretaria de Transporte"
"40568","207115","2025-02-07 13:46:18","2025-02-07 13:46:18","2025-02-07","Paciente necessitando de consulta machucado no seio

Marcado para segunda 10/02 13h

Bairro: Gaspar","Concluído","Atendimento médico em ubs clinico geral","Pessoal","Principal","Secretaria de Saúde"
"40575","207151","2025-02-07 16:05:08","2025-03-11 14:34:22","2025-02-07","-Tampar os buracos na Rua Alberto José Ferreira
-Arrumar o quebra molas na Rua Silas Macedo em frente a Creche Alfredo Couto
-Bairro São Vicente de Paula
Os buracos já foram tampados na Rua Alberto José Ferreira","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"40589","207165","2025-02-10 09:14:28","2025-04-02 15:45:59","2025-02-09","-Limpar o escadão que liga a rua Presidente Kenedy com a rua Paulo de Oliveira Góes.","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"40592","207166","2025-02-10 09:20:07","2025-04-04 10:02:28","2025-02-10","-Tampar buraco em frente à casa do sr Adilson Dalla Paula.","Concluído","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"40606","207205","2025-02-10 12:41:39","2025-02-10 12:41:39","2025-02-06","-Exame Transvaginal
-Bairro Gaspar","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40612","207219","2025-02-10 15:19:09","2025-02-10 15:19:09","2025-02-10","Necessitando de consulta com o Ortopedista. Sofreu acidente há aproximadamente á 3 anos, comm sequela de fratura do anel pelvico, com calsificação sobre o nervo ciático esquerdo, impacto fremoroacetabular misto á esquerda.
Foi solicitado a UBS do Gaspar a marcação da consulta.","aguardando execuçao","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40627","207248","2025-02-11 08:17:16","2025-02-18 11:35:53","2025-02-11","-Solicitou capina na praça do bairro.
-Bairro Santa Luzia","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40631","207252","2025-02-11 08:21:09","2025-02-18 11:33:14","2025-02-11","-Precisa de uma cesta básica.
-Rua Eduardo Braga nº53
-Bairro Gaspar
-Soicitação enviada para o CRAS Aeroporto","Concluído","Outros","WhatsApp","Principal",NULL
"40668","207289","2025-02-11 10:20:16","2025-04-04 09:55:04","2025-02-11","-Consulta com ortopedista Dr Paulo Sérgio, atende no Bairro Santa Terezinha.
DN:28/07/1977","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40703","207870","2025-02-12 08:36:33","2025-02-18 11:31:51","2025-02-12","-Iluminação na entrada do bairro Gaspar em frente a oficina Papa Léguas.
-Bairro Gaspar.
- Solicitação cadastrada","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40819","208177","2025-02-13 13:50:39","2025-02-13 13:58:16","2025-02-13","Precisa de consulta médica com a Neurologista Dra. Renata Reis Ligeiro. Portador de PCD
Já foi enviado para Josi Secretaria
Consulta marcada para dia 24/03/25 - Retirar guia na ubs do bairro","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40826","208197","2025-02-13 14:22:10","2025-04-04 12:05:02","2025-02-13","Consulta com fonodiologo para verificar o aparelho de audição
Consulta com Angiologista - Ultrassom com doppler - veias

Consulta com fonodiologo realizada no CEAE e foi encaminhada para Juiz de Fora","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40908","208268","2025-02-14 11:36:12","2025-04-04 09:47:49","2025-02-01","-Capina,limpeza e roçadas no campo.","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"41077","208485","2025-02-18 10:54:35","2025-05-05 09:46:56","2025-02-14","_Podas de árvores em frente a casa,pegando nos fios de luz.","aguardando execuçao","Poda de Árvore","WhatsApp","Principal","Secretaria do Meio Ambiente"
"41080","208490","2025-02-18 11:29:18","2025-02-18 11:29:18","2025-02-18","-Paciente Jaime Minarini está no sistema esperando desde Setembro 2024
-Teste Ergométrico.

-Bairro Gaspar","aguardando execuçao","Auxilio Doença","WhatsApp","Principal","Secretaria de Saúde"
"41082","208493","2025-02-18 11:49:59","2025-04-04 09:41:50","2025-02-17","_Paciente precisa de Cilindro de Oxigênio, quer saber se o SUS fornece","Concluído","Auxilio Doença","WhatsApp","Principal","Secretaria de Saúde"
"41166","208638","2025-02-20 08:31:20","2025-04-04 09:18:43","2025-02-20","_Limpar pracinha parte alta, com muito mato.
-Cardoso de Mello.","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"41167","208639","2025-02-20 08:36:54","2025-04-04 09:14:12","2025-02-19","-Solicitar um tambor de lixo.
_Bairro União","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"41176","208644","2025-02-20 09:37:29","2025-02-20 11:39:31","2025-02-20","_Fonodiologa está esperando a muito tempo.
-Enzo Gabriel Afonso Santos de Oliveira
-Rua Rosely Fitelman Zem N°50 Bairro Gaspar
_DN= 01/05/2017","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Saúde"
"41181","208647","2025-02-20 09:52:57","2025-02-20 09:52:57","2025-02-19","-Cobrir a quadra do bairro São Cristovão,(construção de vestiário e banheiro)
-Tornar rua independência contra mão.
-Abertura da travessa Portugal com a rua Luterking.
_Pedir ao Adir estátuto da liga das escolas de samba p/abrir uma no bairro.
-Construção escada no beco entre as ruas São Cristovão,Luterking,rua Eugenópolis(iluminação e corrimão)
_Verificar a linha de ônibus São Cristovão,Napoleão, *OBS: Os ônibus não fazem trajeto no bairro,poucos horários.","em analise","Outros","Pessoal","Principal","Secretaria de Obras"
"41192","208664","2025-02-20 11:36:53","2025-02-20 11:36:53","2025-02-19","_Solicitou se tem como voltar com o plano de saúde dos servidores públicos.
-Bairro Gaspar","em analise","Outros","WhatsApp","Principal","Secretaria de Educação"
"41208","208678","2025-02-20 13:14:34","2025-04-04 09:04:59","2025-02-14","Solicita uma área para as crianças brincarem. Passa muito carro e moto na rua, pois, é caminho da cachoeira do Rio Preto e as crianças não conseguem brincar.
Foi realizado indicação","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"41233","208702","2025-02-20 15:10:15","2025-04-04 09:03:16","2025-02-20","Pediu uma placa de ""proibido jogar lixo neste local"", para que as pessoas parem de jogar lixo, entulho e movéis no local.","Concluído","Placas, Lombadas e Sinais","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41262","206651","2025-02-21 09:56:31","2025-04-04 08:58:24","2025-02-21","_Arrumar os parafusos dos brinquedos do parquinho.","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"41336","208836","2025-02-24 10:43:02","2025-04-24 09:42:51","2025-02-10","_Limpeza às margens e no centro do córrego de Itamuri","aguardando execuçao","Limpeza","WhatsApp","Principal","Secretaria do Meio Ambiente"
"41341","208841","2025-02-24 10:57:42","2025-04-04 08:53:48","2025-02-10","-Solicitação de uma praça,no bairro União,com instalação de um parquinho infantil e academia ao ar livre.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"41422","208887","2025-02-24 15:40:50","2025-04-24 09:35:52","2025-02-20","Precisando de uma poda de árvore na Rua Alcir Pires Vermelho
(Amiga da Tati Laboratório)","em analise","Poda de Árvore","WhatsApp","Principal","Secretaria do Meio Ambiente"
"41481","208946","2025-02-25 10:16:19","2025-04-04 08:48:09","2025-02-16","_Placas de sinalização do bairro, as mesmas já foram feitas através da indicação.","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Transporte"
"41487","208953","2025-02-25 10:37:45","2025-02-25 10:37:45","2025-02-16","_Funeral do esposo, Manoel Estevão dos Santos.","Concluído","Auxilio Doença","WhatsApp","Principal","Secretaria de Saúde"
"41528","209002","2025-02-25 14:47:40","2025-02-25 14:54:39","2025-02-24","Transporte do irmão Jorge Peixoto Ferreira do Hospital São Vicente de Paulo - Ubá, para o Hospital São Paulo - Muriaé","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"41555","209044","2025-02-26 07:38:12","2025-04-04 08:43:15","2025-02-20","_Instalação de uma cobertura no espaço destinado ao parquinho da creche Valdivino Santos Mendes.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Educação"
"41607","209084","2025-02-26 13:48:26","2025-02-27 13:37:15","2025-02-26","Solicitou que verificasse o poste de luz na rua Alicio Mariano da Silva, nº 233 - Bairro São Pedro, está apagado","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41830","209276","2025-03-06 14:06:39","2025-04-04 08:42:32","2025-02-19","Verificar se tem como adiantar a operação de hérnia do Gustavo Teixeira.
Já foi solicitado á secretaria de saúde para verificar uma data","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"41851","209288","2025-03-07 08:41:15","2025-04-04 07:38:38","2025-03-06","_Solicitou lâmpada de 3 postes apagadas,sendo 2 pertos da casa da casa da Leia e 1 perto da casa da Stiliane,ambos na mesma sequências.
_Bairro Gaspar
_Rua Alvorada","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41852","209290","2025-03-07 08:48:02","2025-04-04 07:37:54","2025-03-06","_Solicitou 1 lâmpada apagada,
_Rua 1°de Maio N°87
_Bairro Gaspar","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41855","209291","2025-03-07 08:57:15","2025-04-04 11:59:15","2025-03-04","_Precisa de capina e limpeza
_Precisa de 1 latão de lixo, os moradores estão jogando lixo na rua.
_Rua Prefeito Francisco Teodoro Filho N°387
_Bairro Patrimônio São José.","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41857","209292","2025-03-07 09:08:57","2025-05-09 14:52:09","2025-03-06","_Cortar as àrvores das estradas.
_Banheiros públicos nas praças.
_Hospital poupa tempo para agilizar os atendimentos.
_Fazer um projeto de lei multirões de consulta durante o ano.
_Visitas nas casas, ( os médicos não estão fazendo)
_Posto de saúde precisa de reformas.
-Obs:Não tem ambulância.
_Ajuda para festa dia das mães.
_Macuco
999623494","em analise","Outros","Pessoal","Principal","Secretaria de Obras"
"41899","209325","2025-03-07 16:31:46","2025-07-22 10:37:12","2025-03-07","Pede para verificar os atendimentos da UBS Joanópolis
Só tem médico de vez em quando e ficha 1 vez na semana","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"41927","206671","2025-03-10 10:24:07","2025-04-04 07:31:44","2025-03-10","Limpeza e lavagem da Rua 7 de setembro
Devido a obra e com a chuva a rua está com muita terra","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"41998","209394","2025-03-11 08:25:18","2025-04-04 12:00:44","2025-03-10","_Solicitou arrumar a estrada que liga a BR a entrada da empresa Rodo Mais,muitos buracos.","Concluído","Outros","WhatsApp","Principal","Secretaria de Obras"
"42010","209403","2025-03-11 10:32:10","2025-07-22 10:13:47","2025-03-10","_Solicitou a limpeza da descida do bairro muito mato alto.
_Bairro Santa Terezinha","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"42155","209648","2025-03-13 16:04:35","2025-05-19 16:24:35","2025-03-11","*Médico Ginecologista, Fisioterapeuta, Clínico Geral fixo e Pediatra
*Luz na entrada de Itamuri (se consegui colocar luz pelo menos na entrada ""Trevo"", já ajudaria muito
*Mais horário de ônibus
*Arrumar a pinguela (já foi feita indicação)
*Passar máquina na estrada indo F2 e se possível, colocar saibo
*Redutores de velocidade nas ruas: Rua da Pracinha, Rua da Flores, Rua Independência)
*Limpeza da rede esgoto a céu aberto
*Poda das árvores
*Regularização das Escrituras das Casas
*Alguns buracos na entrada de Itamuri
*Policiamento na cidade (de vez em quando fazem ronda/existe câmera de monitoramento na cidade)
*Ambulância 24h
*Asfalto ou calçamento na parte da Rua das Flores para que possivelmente o ônibus de outras cidades, possam passar por Itamuri
*Limpeza na Rua pincipal (muitos galhos e folhas)
*Solicitar que quem vier cortar a grama do campo, juntar e recolher o que foi cortado
*Verificar a rota dos varredores de rua
Oficio 604 enviado para limpeza do campo 
","em analise","Outros","Pessoal","Principal","Secretaria de Obras"
"42156","209648","2025-03-13 16:40:29","2025-03-13 16:40:29","2025-03-11","*Verificar a rota do caminhão do lixo (façam direito o trajeto nas ruas nos dias seg./quart./sexta
*Iluminação em uma parte da Rua do Rosário (pracinha do campo)
*Rede de esgoto no final da Rua do rosário
*Quadra de areia
*Cursos profisionalizantes para os adolescentes
*Limpeza do ""Bosque"" (extensão do rio) onde os moradores jogam todo tipo de lixo, deixando o local muito sujo; Perto da escola, está tendo muito bicho que já está entrando pra dentro da escola. Opções para fazer no local: Quadra/um espaço para a festa da colheita/local de lazer - Rua das Flores perto do número 125","em analise","Outros","Pessoal","Principal","Secretaria de Obras"
"42239","209771","2025-03-17 09:32:44","2025-07-22 10:13:11","2025-03-17","_Limpeza do terreno e matos na calçadas, 
_Bairro São Francisco,próximo a caixa de água.
_Rua Mariana Campos 22","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Obras"
"42344","209867","2025-03-18 10:16:14","2025-03-19 10:37:49","2025-03-09","_Solicitou um exame transvaginal
_Rua são João Batista 
_Bairro Gaspar","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"42448","206436","2025-03-19 10:47:31","2025-03-19 10:47:31","2025-03-19","
Lombada na pista Rua Celino Evaristo de Andrade, 305 A - São Gotardo Foi realizado Indicação","aguardando execuçao","Outros","Outro","Principal","Secretaria de Trânsito"
"42556","210137","2025-03-20 13:44:22","2025-05-05 09:39:53","2025-03-18","Solicita a construção de um muro na Rua Bethânia nº 35
Quando chove entra muita água na casa dela e barro devido morar na parte de baixo da rua
Defesa Civil já realizou a vistória em 2012
Já foi várias vezes na Secretaria de Obras e só pegaram as fotos e não resolveram nada","aguardando execuçao","Outros","Pessoal","Principal","Secretaria de Obras"
"42705","210303","2025-03-24 11:10:45","2025-04-04 07:25:22","2025-03-24","-Solicitou Fisioterapia para os seguintes pacientes.
_Davi Luiz da Fonseca- 9h
_Renyel de Paula Leite-10h
-João Porfirio Sousa-10h
-Todos avaliação na quarta-feira dia 26/03","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"42845","210437","2025-03-25 11:00:28","2025-03-25 11:02:00","2025-03-24","-Solicitou médico oftamologista","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"42854","210440","2025-03-25 11:22:45","2025-03-25 11:25:35","2025-03-12","_Solicitou iluminação do refletor do posto","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Obras"
"42867","210451","2025-03-25 11:55:09","2025-04-04 07:23:25","2025-03-25","_Solicitou o pedido de uma cesta básica 
_CRAS Santa Terezinha","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"43005","210588","2025-03-26 11:44:19","2025-07-08 11:53:55","2025-03-26","_Consulta Dr° Thais
_Receita","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
